zotero_key,title,authors,journal,year,doi,zotero_pdf_attached,zotero_si_attached,da_extracted,ca_extracted,external_repo,priority,ingest_status,review_status
QDU6TZYF,Climate mitigation scenarios with persistent COVID-19-related energy demand changes,Kikstra et al.,Nature Energy,2021,10.1038/s41560-021-00904-8,true,false,true,true,false,2,ingested,reviewed
24JPKFDV,Inequitable access to distributed energy resources due to grid infrastructure limits in California,Brockway et al.,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
PZXWSSC7,Profitability and investment risk of Texan power system winterization,Gruber et al.,Nature Energy,2022,,,,false,false,,3,candidate,unreviewed
597JIAHR,Expert elicitation survey predicts 37% to 49% declines in wind energy costs by 2050,Wiser et al.,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
KHPI7QQA,A systematic review of the costs and impacts of integrating variable renewables into power grids,Heptonstall & Gross,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
9TCC3G32,Heavy-duty truck electrification and the impacts of depot charging on electricity distribution systems,Borlaug et al.,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
JPX4IE7L,A global analysis of the progress and failure of electric utilities to adapt their portfolios of power-generation assets to the energy transition,Alova,Nature Energy,2020,,,,false,false,,3,candidate,unreviewed
5ZHRX53J,Offshore wind competitiveness in mature markets without subsidy,Jansen et al.,Nature Energy,2020,,,,false,false,,3,candidate,unreviewed
3L6XVCPF,The role of energy infrastructure in shaping early adoption of electric and gasoline cars,Taalbi & Nielsen,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
8TQN55AV,A global assessment of extreme wind speeds for wind energy applications,Pryor & Barthelmie,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
KRT75D4W,Probabilistic feasibility space of scaling up green hydrogen supply,Odenweller et al.,Nature Energy,2022,,,,false,false,,3,candidate,unreviewed
EP9PBLJD,Using ammonia as a shipping fuel could disturb the nitrogen cycle,Wolfram et al.,Nature Energy,2022,,,,false,false,,3,candidate,unreviewed
LH3GCBFN,Enabling an equitable energy transition through inclusive research,Ravikumar et al.,Nature Energy,2022,,,,false,false,,3,candidate,unreviewed
3QG2HGAC,Sponging hydrogen from the air,Gallagher,Nature Energy,2022,,,,false,false,,3,candidate,unreviewed
TG3V5TZE,Understanding India's low-carbon energy technology startup landscape,Krishna et al.,Nature Energy,2022,,,,false,false,,3,candidate,unreviewed
5CEI8DFA,Tracking hydrogen projects,Gallagher,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
UYCVVQJU,Taking control of energy as a solar prosumer,Middlemiss,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
Z72P6D2X,Economics of converting renewable power to hydrogen,Glenk & Reichelstein,Nature Energy,2019,,,,false,false,,3,candidate,unreviewed
3XRPZJKT,Climate change impacts on planned supply-demand match in global wind and solar energy systems,Liu et al.,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
ZA3JJ8WU,Emissions from natural hydrogen,Gallagher,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
PIQKGJNB,Breaking the hard-to-abate bottleneck in China's path to carbon neutrality with clean hydrogen,Yang et al.,Nature Energy,2022,10.1038/s41560-022-01114-6,true,false,true,true,false,1,ingested,reviewed
PQH8GVN8,Energy storage solutions to decarbonize electricity through enhanced capacity expansion modelling,Levin et al.,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
VTBIBJHL,Expanded modelling scenarios to understand the role of offshore wind in decarbonizing the United States,Beiter et al.,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
36H6N9IV,Uncertainty analysis identifies drivers of offshore wind deployment,(editorial),Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
6SSTC332,Mission Energy Access for a just and sustainable future for all,Sagar et al.,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
TCVLQYWD,The underestimated potential of solar energy to mitigate climate change,Creutzig et al.,Nature Energy,2017,,,,false,false,,3,candidate,unreviewed
ALJ4GH3C,Linking energy use to local climate,Reinhart,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
ERVW5RSQ,Decoding energy model variations,Ou,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
Y56DW4KX,A global model of hourly space heating and cooling demand at multiple spatial scales,Staffell et al.,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
LXNW3ZJM,Quantifying the impacts of climate change and extreme climate events on energy systems,Perera et al.,Nature Energy,2020,,,,false,false,,3,candidate,unreviewed
8IMLJZAH,The influence of additionality and time-matching requirements on the emissions from grid-connected hydrogen production,Giovanniello et al.,Nature Energy,2024,10.1038/s41560-023-01435-0,true,false,true,true,true,1,ingested,reviewed
BZZEB62R,Assessing the emissions impact of grid-connected hydrogen production,(editorial),Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
5CAVXPE9,The role of flexible geothermal power in decarbonized electricity systems,Ricks et al.,Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
HERTUTXY,Increasing the resilience of the Texas power grid against extreme storms by hardening critical lines,Sturmer et al.,Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
VYQCQT7H,Exploring the potential of non-residential solar to tackle energy injustice,Wussow et al.,Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
SYZJZS6F,Stylized least-cost analysis of flexible nuclear power in deeply decarbonized electricity systems considering wind and solar resources worldwide,Duan et al.,Nature Energy,2022,,,,false,false,,3,candidate,unreviewed
3NB2TYWP,High-resolution meteorology with climate change impacts from global climate model data using generative machine learning,Buster et al.,Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
U9JGP7LF,Cost and competitiveness of green hydrogen and the effects of the European Union regulatory framework,Brandt et al.,Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
V5VRS3KJ,A geographically disaggregated approach to integrate low-carbon technologies across local electricity networks,Few et al.,Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
C6BM426M,Impacts of fleet types and charging modes for electric vehicles on emissions under different penetrations of wind power,Chen et al.,Nature Energy,2018,,,,false,false,,3,candidate,unreviewed
7G2A2RHN,Wind power and solar photovoltaics found to have higher energy returns than fossil fuels,(editorial),Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
L8UI4RX3,National growth dynamics of wind and solar power compared to the growth required for global climate targets,Cherp et al.,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
UN6W5JJZ,"City-level analysis of subsidy-free solar photovoltaic electricity price, profits and grid parity in China",Yan et al.,Nature Energy,2019,,,,false,false,,3,candidate,unreviewed
2TEATHWG,Life-cycle assessment of an industrial direct air capture process based on temperature-vacuum swing adsorption,Deutz & Bardow,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
CV5WPY9F,Impact of siting ordinances on land availability for wind and solar development,Lopez et al.,Nature Energy,2023,,,,false,false,,3,candidate,unreviewed
DGLLMBEJ,Worldwide greenhouse gas emissions of green hydrogen production and transport,de Kleijne et al.,Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
MLRKVJAL,Diversifying heat sources in China's urban district heating systems will reduce risk of carbon lock-in,Liu et al.,Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
Z5RGBSCH,The green hydrogen ambition and implementation gap,Odenweller & Ueckerdt,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
KSUJCP2T,Accelerating green shipping with spatially optimized offshore charging stations,Li et al.,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
FXVVR5CX,Demand-side strategies enable rapid and deep cuts in buildings and transport emissions to 2050,Van Heerden et al.,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
ZT6CXN78,Power price stability and the insurance value of renewable technologies,Navia Simon & Diaz Anadon,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
R7K3BYQT,Diversity of biomass usage pathways to achieve emissions targets in the European energy system,Millinger et al.,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
SYGLCEMJ,The role of policy and module manufacturing learning in industrial decarbonization by small modular reactors,Vanatta et al.,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
CZDZB3TW,Impacts of renewable energy resources on the weather vulnerability of power systems,Zhao et al.,Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
DUK2LKYI,Economic potential of wind and solar in American Indian communities,Parker et al.,Nature Energy,2024,,,,false,false,,3,candidate,unreviewed
I4QDRCBT,Faster deployment of renewables stabilizes electricity prices in Europe,Navia Simon & Diaz Anadon,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
NG5JQVM6,The effect of residential solar on energy insecurity among low- to moderate-income households,Yozwiak et al.,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
TYBMJELG,H2 and CO2 network strategies for the European energy system,Hofmann et al.,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
TSB8ICC9,The design space for long-duration energy storage in decarbonized power systems,Sepulveda et al.,Nature Energy,2021,,,,false,false,,3,candidate,unreviewed
CN9T92HJ,Redesigning electrification of China's ammonia and methanol industry to balance decarbonization with power system security,Li et al.,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
GPEDY3KH,Solar and battery can reduce energy costs and provide affordable outage backup for US households,Sun et al.,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
NEYRD43A,Strategies to accelerate US coal power phase-out using contextual retirement vulnerabilities,Gathrid et al.,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
22F6YC6K,Vehicle-to-home charging can cut costs and greenhouse gas emissions across the USA,Chen et al.,Nature Energy,2025,,,,false,false,,3,candidate,unreviewed
TYESARET,"Energy use of AI inference, efficiency pathways, and test-time scaling",Oviedo et al.,Joule,2026,,,,false,false,,3,candidate,unreviewed
CPG6ZP6P,Capturing the distribution of costs and benefits in electricity system planning and operations,Levin et al.,Joule,2026,,,,false,false,,3,candidate,unreviewed
ZBX2L8KT,Techno-economic analysis and life cycle assessment for the catalytic hydrogenolysis and hydrocracking of polyethylene,Yadav et al.,Joule,2026,,,,false,false,,3,candidate,unreviewed
UELISBYS,Mitigating Curtailment and Carbon Emissions through Load Migration between Data Centers,Zheng et al.,Joule,2020,,,,false,false,,3,candidate,unreviewed
MXM6F3MB,Wind power production from very large offshore wind farms,Pryor et al.,Joule,2021,,,,false,false,,3,candidate,unreviewed
5KPPXRHH,Techno-economic analysis of long-duration energy storage and flexible power generation technologies to support high-variable renewable energy grids,Hunter et al.,Joule,2021,,,,false,false,,3,candidate,unreviewed
4C8MJEHX,"Solar and wind grid system value in the United States: The effect of transmission congestion, generation profiles, and curtailment",Millstein et al.,Joule,2021,,,,false,false,,3,candidate,unreviewed
3MS8585Z,Critical challenges facing low carbon steelmaking technology using hydrogen direct reduced iron,Kim & Sohn,Joule,2022,,,,false,false,,3,candidate,unreviewed
WKR37VVE,Is heating homes with hydrogen all but a pipe dream? An evidence review,Rosenow,Joule,2022,,,,false,false,,3,candidate,unreviewed
RDLVIBRL,Comparing approaches for carbon dioxide removal,Dowell et al.,Joule,2022,,,,false,false,,3,candidate,unreviewed
2LFYZG3B,Electrolytic hydrogen has to show its true colors,Bruninx et al.,Joule,2022,,,,false,false,,3,candidate,unreviewed
UEFTBXUP,Climate impacts of the metaverse,Stoll et al.,Joule,2022,,,,false,false,,3,candidate,unreviewed
FMQSMWLV,The value of fusion energy to a decarbonized United States electric grid,Schwartz et al.,Joule,2023,,,,false,false,,3,candidate,unreviewed
AT9EX7UN,The role of electricity market design for energy storage in cost-efficient decarbonization,Qin et al.,Joule,2023,,,,false,false,,3,candidate,unreviewed
Y8PV4D93,The potential role of a hydrogen network in Europe,Neumann et al.,Joule,2023,,,,false,false,,3,candidate,unreviewed
FVG5MBFX,The importance of dynamic operation and renewable energy source on the economic feasibility of green ammonia,Smith & Torrente-Murciano,Joule,2023,,,,false,false,,3,candidate,unreviewed
F7I4R3NZ,On the cost competitiveness of blue and green hydrogen,Ueckerdt et al.,Joule,2024,,,,false,false,,3,candidate,unreviewed
FBDGLG26,Storage Requirements and Costs of Shaping Renewable Energy Toward Grid Decarbonization,Ziegler et al.,Joule,2019,,,,false,false,,3,candidate,unreviewed
G9GJ7SWS,Realistic pathways to decarbonization of building energy systems,Garimella et al.,Joule,2022,,,,false,false,,3,candidate,unreviewed
YZIPNFXQ,Quantifying the challenge of reaching a 100% renewable energy power system for the United States,Cole et al.,Joule,2021,,,,false,false,,3,candidate,unreviewed
TAAZ3PWG,The challenges of achieving a 100% renewable electricity system in the United States,Denholm et al.,Joule,2021,,,,false,false,,3,candidate,unreviewed
WLBM6BPK,Pathway toward carbon-neutral electrical systems in China by mid-century with negative CO2 abatement costs informed by high-resolution modeling,Chen et al.,Joule,2021,,,,false,false,,3,candidate,unreviewed
GC682WNQ,Requirements for CO2-free hydrogen production at scale,Sun et al.,Joule,2024,,,,false,false,,3,candidate,unreviewed
69KBAWKS,Getting to 100%: Six strategies for the challenging last 10%,Mai et al.,Joule,2022,,,,false,false,,3,candidate,unreviewed
VFUS5NZF,Employment dynamics in a rapid decarbonization of the US power sector,Bucker et al.,Joule,2025,,,,false,false,,3,candidate,unreviewed
MITUIMJN,Grid connection barriers to renewable energy deployment in the United States,Gorman et al.,Joule,2024,,,,false,false,,3,candidate,unreviewed
4K8KUP2H,System impacts of wind energy developments: Key research challenges and opportunities,McKenna et al.,Joule,2025,,,,false,false,,3,candidate,unreviewed
5BV69234,Carbon abatement costs of green hydrogen across end-use sectors,Shafiee & Schrag,Joule,2024,,,,false,false,,3,candidate,unreviewed
IDIZTGHA,"Mission net-zero America: The nation-building path to a prosperous, net-zero emissions economy",Jenkins et al.,Joule,2021,,,,false,false,,3,candidate,unreviewed
XT7LCEP8,"Mission net-zero America: The nation-building path to a prosperous, net-zero emissions economy (dup)",Jenkins et al.,Joule,2021,,,,false,false,,3,candidate,unreviewed
3IHUA7E5,Energy transition will require substantially less mining than the current fossil system,Nijnens et al.,Joule,2023,,,,false,false,,3,candidate,unreviewed
KDNVJA6U,Sustainability regulations for PtX projects: Scope and impact analysis,Bube et al.,Joule,2025,,,,false,false,,3,candidate,unreviewed
43PKIBZ3,Pathways to national-scale adoption of enhanced geothermal power through experience-driven cost reductions,Ricks & Jenkins,Joule,2025,,,,false,false,,3,candidate,unreviewed
XUGL6XPD,Technoeconomic analysis of small modular reactors decarbonizing industrial process heat,Vanatta et al.,Joule,2023,,,,false,false,,3,candidate,unreviewed
M9HYZCZE,Assess space-based solar power for European-scale power system decarbonization,Che et al.,Joule,2025,10.1016/j.joule.2025.102074,true,false,true,true,true,2,ingested,reviewed
52W57HP5,Sources of data center energy estimates: A comprehensive review,Mytton & Ashtine,Joule,2022,,,,false,false,,3,candidate,unreviewed
HZPT75PJ,Technological evolution of large-scale blue hydrogen production toward the U.S. Hydrogen Energy Earthshot,Wu et al.,Nature Communications,2024,,,,false,false,,3,candidate,unreviewed
L82XBW8G,Production of hydrogen from offshore wind in China and cost-competitive supply to Japan,Song et al.,Nature Communications,2021,,,,false,false,,3,candidate,unreviewed
4X3U63F6,Hydrogen production from the air,Guo et al.,Nature Communications,2022,,,,false,false,,3,candidate,unreviewed
ZMJC78ZN,The role of energy storage in deep decarbonization of electricity production,Arbabzadeh et al.,Nature Communications,2019,,,,false,false,,3,candidate,unreviewed
HSZ5V6VL,Toward economical application of carbon capture and utilization technology with near-zero carbon emission,Langie et al.,Nature Communications,2022,,,,false,false,,3,candidate,unreviewed
YCK9PICB,Air pollution disparities and equality assessments of US national decarbonization strategies,Goforth & Nock,Nature Communications,2022,,,,false,false,,3,candidate,unreviewed
EWRJNLTG,Costs and health benefits of the rural energy transition to carbon neutrality in China,Ma et al.,Nature Communications,2023,,,,false,false,,3,candidate,unreviewed
L5HQMR7B,Cost increase in the electricity supply to achieve carbon neutrality in China,Zhuo et al.,Nature Communications,2022,,,,false,false,,3,candidate,unreviewed
4GT5RGWP,Global greenhouse gas emissions from residential and commercial building materials and mitigation strategies to 2060,Zhong et al.,Nature Communications,2021,,,,false,false,,3,candidate,unreviewed
T3YPX6LR,Endogenous learning for green hydrogen in a sector-coupled energy model for Europe,Zeyen et al.,Nature Communications,2023,10.1038/s41467-023-39397-2,true,false,true,true,false,1,ingested,reviewed
CRAKEP8V,Carbon mitigation potential afforded by rooftop photovoltaic in China,Zhang et al.,Nature Communications,2023,,,,false,false,,3,candidate,unreviewed
JH86PPYZ,Rapid cost decrease of renewables and storage accelerates the decarbonization of China's power system,He et al.,Nature Communications,2020,,,,false,false,,3,candidate,unreviewed
P4MELFZW,Prospective contributions of biomass pyrolysis to China's 2050 carbon reduction and renewable energy goals,Yang et al.,Nature Communications,2021,,,,false,false,,3,candidate,unreviewed
9GMPVTM6,Integrated assessment modeling of a zero-emissions global transportation sector,Speizer et al.,Nature Communications,2024,,,,false,false,,3,candidate,unreviewed
TXU46S5Q,Real-time outage management in active distribution networks using reinforcement learning over graphs,Jacob et al.,Nature Communications,2024,,,,false,false,,3,candidate,unreviewed
JR2PGWI7,Assessing the energy transition in China towards carbon neutrality with a probabilistic framework,Zhang & Chen,Nature Communications,2022,,,,false,false,,3,candidate,unreviewed
U64SBBSZ,Solar photovoltaic interventions have reduced rural poverty in China,Zhang et al.,Nature Communications,2020,,,,false,false,,3,candidate,unreviewed
TVRRYNQM,An inter-model assessment of the role of direct air capture in deep mitigation pathways,Realmonte et al.,Nature Communications,2019,,,,false,false,,3,candidate,unreviewed
UKAQ6W6E,Finding gaps in the national electric vehicle charging station coverage of the United States,Hanig et al.,Nature Communications,2025,,,,false,false,,3,candidate,unreviewed
8KHFBMA8,Global spatiotemporal optimization of photovoltaic and wind power to achieve the Paris Agreement targets,Wang et al.,Nature Communications,2025,,,,false,false,,3,candidate,unreviewed
FS4P43UZ,Environmental impact and net-zero pathways for sustainable artificial intelligence servers in the USA,Xiao et al.,Nature Sustainability,2025,,,,false,false,,3,candidate,unreviewed
URRF75NS,Decarbonization and electricity price vulnerability,Bajo-Buenestado et al.,Nature Sustainability,2025,,,,false,false,,3,candidate,unreviewed
UIWZD5EE,Potential and risks of hydrogen-based e-fuels in climate change mitigation,Ueckerdt et al.,Nature Climate Change,2021,,,,false,false,,3,candidate,unreviewed
AVIRKCNM,Greenhouse gas emissions intensity of global croplands,Carlson et al.,Nature Climate Change,2017,,,,false,false,,3,candidate,unreviewed
VMSZ42JG,Decarbonization pathways for the residential sector in the United States,Berrill et al.,Nature Climate Change,2022,,,,false,false,,3,candidate,unreviewed
A4EZAC5U,Meta-analysis on necessary investment shifts to reach net zero pathways in Europe,Klaaßen & Steffen,Nature Climate Change,2023,,,,false,false,,3,candidate,unreviewed
73CKKQFI,The hydrogen economy can reduce costs of climate change mitigation by up to 22%,Wolfram et al.,One Earth,2024,,,,false,false,,3,candidate,unreviewed
